floor_to_ceiling_height,natural_grade_of_floor,outdoor_emergency_exit,bottom_of_clear_opening,opening_height,opening_width,opening_area,area_of_window_well,distance_between_landing,area_of_landing,drainage_system_present,window_cover_signage,Approved ?
8.8,0.6,FALSE,39.4,24.8,20.8,5.6,9.4,9.2,11.2,TRUE,TRUE,No
7.4,0.3,FALSE,38.7,23.8,20.9,5.4,11,10.7,9.1,FALSE,FALSE,No
7.2,0.2,FALSE,42.3,24.9,21.8,5,10.6,12.3,10.2,FALSE,FALSE,No
6.8,0.4,TRUE,39.5,23.9,21.4,5.2,10.4,10.1,11,FALSE,FALSE,No
7.3,0.2,TRUE,42.6,23.7,21.7,5,10.9,11.2,8.7,FALSE,FALSE,No
7.5,0.9,FALSE,40.1,24.2,21.9,5.6,11,9.8,9.1,TRUE,FALSE,No
8.9,2.2,FALSE,38,25.5,21,5.2,10.8,9.5,9.3,FALSE,FALSE,No
7.2,0.2,FALSE,43.6,25.5,21.3,4.9,10,9.8,10.4,FALSE,TRUE,No
7.1,1.9,FALSE,44.2,25.4,21.1,5.1,10.5,10.9,9.2,TRUE,TRUE,No
7.9,1.3,FALSE,41.9,23.9,21.3,5,10.5,11,8.9,TRUE,FALSE,No
8.6,1.1,FALSE,39.9,24.5,21.7,5.6,9.7,9.1,11.5,FALSE,FALSE,No
7.5,1.3,TRUE,43.3,23.8,22,5.4,9.7,12,9.9,TRUE,TRUE,No
8.3,0.6,FALSE,40.4,25.2,19.9,5.4,10.7,9.4,8.7,TRUE,FALSE,No
8.8,0.4,TRUE,40,25.4,21.7,5.2,9.1,9.4,10.8,TRUE,TRUE,Yes
7,2.2,TRUE,43.1,25.6,20.8,5.5,9.2,10.7,9.4,FALSE,FALSE,No
8.6,1.6,TRUE,40.2,24.9,20.8,5.3,10.5,10.5,8.8,TRUE,TRUE,No
7.6,0.8,TRUE,43.4,25.5,21.3,5.4,8.8,9.4,11.9,TRUE,TRUE,No
7.6,0.5,FALSE,43.2,24.8,21.5,5.1,10.4,9.3,9.2,FALSE,FALSE,No
9,1.9,TRUE,40.3,24.7,21.1,5.4,10.8,11.6,11.7,FALSE,TRUE,No
8.1,1.4,FALSE,39.7,25.4,20.4,5.3,10.5,9.6,11.4,TRUE,FALSE,No
8,2.3,TRUE,39,25.2,20.2,5.7,9.1,10.5,11.8,TRUE,TRUE,No
8.5,1.4,FALSE,41.8,24.2,21,5.6,10.3,12,9.1,FALSE,TRUE,No
7,0.2,FALSE,38.4,24.4,19.7,5.6,8.9,12,10.1,FALSE,FALSE,No
8.6,1.9,TRUE,43.1,25.2,21.5,5,9.5,9.4,10,TRUE,FALSE,No
8.7,1.5,TRUE,44.1,24.9,21.5,5.8,10.7,10.7,10.5,FALSE,FALSE,No
8.9,0.3,FALSE,39.8,24.1,21.8,4.9,9.1,11.5,10.1,FALSE,FALSE,No
8.9,1,FALSE,39.3,25.1,20.1,4.9,10.2,11.5,10.7,FALSE,TRUE,No
6.9,0.6,TRUE,40.3,24.1,21.1,5,8.8,9.8,10.9,TRUE,FALSE,No
8.7,2.2,TRUE,40.5,24.3,20.6,5.6,8.9,12,11.1,TRUE,TRUE,No
8.3,0.4,FALSE,40.3,23.8,20,5.4,9.5,12.3,10.9,TRUE,FALSE,No
6.8,0.8,FALSE,39.9,23.7,21.5,4.9,10.6,11.7,11.2,FALSE,FALSE,No
7.2,0,TRUE,38.3,24.6,21,5.8,10.9,11.9,11.4,TRUE,TRUE,Yes
7.8,0.9,TRUE,38.1,24.3,20.9,5.1,9.4,9.4,9.3,TRUE,FALSE,No
8.1,2.3,TRUE,38.6,23.8,20.5,4.9,9.6,11.2,9.3,FALSE,TRUE,No
7.2,2.3,FALSE,38.9,24,21.1,5.6,10.3,11.6,11.9,TRUE,FALSE,No
8.8,1.3,TRUE,42.2,25.6,19.8,5.6,9.7,11.1,10.5,TRUE,TRUE,No
7.9,0.1,FALSE,42.1,25.7,20.1,5,9.6,9.7,11.8,TRUE,TRUE,No
7.5,0,TRUE,41.6,25.2,20.4,4.9,10.1,9.4,10.7,TRUE,TRUE,No
7,0.1,FALSE,41.5,24.1,19.9,5.2,8.9,10.7,9.2,FALSE,FALSE,No
7.1,1.1,FALSE,40.1,25,21.5,5.6,9.7,9.9,9.1,TRUE,TRUE,No
7.6,1.4,TRUE,38.4,24.5,19.7,5,9,10,9.5,FALSE,TRUE,No
6.9,0.6,TRUE,43.1,24.8,20.5,5.5,9.2,9.5,11.1,TRUE,FALSE,No
8.1,1.7,FALSE,43.6,24.3,20.3,5,10.8,10.1,9.8,TRUE,TRUE,No
7.9,1.1,FALSE,39.3,25.6,20.1,5.1,10.4,10.3,10.5,TRUE,TRUE,No
7.1,1.8,TRUE,41.2,24.8,22,5.1,10,11.3,11.1,FALSE,FALSE,No
7.3,1.9,TRUE,40.1,24.1,21.9,5.6,9.5,9.2,11.6,FALSE,TRUE,No
7.2,1.6,TRUE,41.6,25.6,19.9,5.2,10.5,10.1,9.7,TRUE,TRUE,Yes
7.2,0.3,FALSE,44.1,25.3,21.4,5.4,9.4,10.3,9.7,FALSE,TRUE,No
8.6,1.6,TRUE,40.1,24.6,21.1,5.3,10.4,10.9,9.8,TRUE,FALSE,No
6.8,1.8,TRUE,39.4,25.8,20.1,5.4,9.6,9.4,11.5,FALSE,TRUE,No
9,0.6,FALSE,38.3,24.5,20.7,5.7,10.3,9.6,11.6,FALSE,TRUE,No
7.5,0.1,TRUE,41.7,24.6,20,5.4,9.2,9.2,10.6,FALSE,TRUE,No
7.9,0.5,FALSE,42.7,25,21.4,5.7,9.1,10.4,9.9,FALSE,FALSE,No
7.4,0.5,FALSE,43.5,25.6,20.8,5.4,9.9,9.8,10,TRUE,TRUE,No
8.8,0.9,TRUE,40.1,25.6,20.3,5.3,9,9.1,10.7,FALSE,TRUE,No
6.8,1.3,FALSE,38.3,25.7,21.6,5.2,9,9.1,10.1,TRUE,TRUE,No
7.4,0.9,FALSE,40.4,25.2,20.5,5.1,8.8,9.7,9.3,FALSE,TRUE,No
7.3,0.2,FALSE,41.3,23.8,20.3,5,10.7,10,11.6,TRUE,FALSE,No
8.1,1.2,FALSE,40.3,24.8,20.7,5.7,11,12.3,11.1,TRUE,TRUE,No
7.2,0.5,TRUE,44.1,24.4,19.7,5.6,9.4,9.4,9.5,FALSE,FALSE,No
8.1,1,TRUE,42.2,25.6,21,5,9,9.3,10,FALSE,TRUE,No
7,1.7,TRUE,41.4,25,21.7,5,9.3,9.5,8.8,TRUE,FALSE,No
7.5,0.5,FALSE,40.4,24.6,21,5.1,9,12,9.8,TRUE,FALSE,No
